emotion;hashtag;value
anticipation;rivalry;1,0848E+13
anticipation;#challenge;1,0848E+13
anticipation;matrix;1,0848E+13
anticipation;consumption;1,0848E+13
anticipation;japanese;1,08003E+14
anticipation;tracking;1,08003E+14
anticipation;trilogy;1,07824E+14
anticipation;12/12/12;1,07731E+14
anticipation;preaching;1,07433E+14
anticipation;hyped;1,07433E+14
anticipation;30%;1,07433E+14
anticipation;elections;1,07433E+14
anticipation;halftime;1,07433E+14
anticipation;ironic;1,07104E+14
anticipation;#soclose;1,06741E+14
anticipation;feast;1,06741E+14
anticipation;fiver;1,06741E+14
anticipation;amendment;1,06741E+14
anticipation;album;1,06621E+13
anticipation;museum;1,06476E+14
anticipation;panel;1,05882E+14
anticipation;fsu;1,05882E+14
anticipation;1000th;1,05882E+14
anticipation;depth;1,05882E+14
anticipation;#homeland;1,05882E+14
anticipation;davis;1,05882E+14
anticipation;opener;1,05882E+14
anticipation;oooo;1,05882E+14
anticipation;coca;1,05882E+14
anticipation;disorders;1,05882E+14
anticipation;#cantwait;1,05254E+14
anticipation;kong;1,05185E+14
anticipation;cox;1,05185E+14
anticipation;waiting;1,05118E+13
anticipation;utd;1,0509E+14
anticipation;freaky;1,05031E+14
anticipation;sterling;1,04789E+14
anticipation;pickup;1,04789E+14
anticipation;#different;1,04789E+14
anticipation;clash;1,04789E+14
anticipation;69;1,04789E+14
anticipation;democrat;1,04789E+14
anticipation;hows;1,04789E+14
anticipation;average;1,04789E+14
anticipation;#iwish;1,04789E+14
anticipation;playbook;1,04789E+14
anticipation;interesting;1,04747E+14
anticipation;collapse;1,04356E+14
anticipation;geek;1,04356E+14
anticipation;clubs;1,03878E+13
anticipation;worship;1,03729E+14
anticipation;58;1,03351E+14
anticipation;#hype;1,03351E+14
anticipation;promotion;1,03351E+14
anticipation;goodluck;1,03351E+14
anticipation;rib;1,03351E+14
anticipation;11th;1,03351E+14
anticipation;lend;1,03351E+14
anticipation;hum;1,03351E+14
anticipation;challenging;1,03351E+14
anticipation;cory;1,03351E+14
anticipation;vital;1,03351E+14
anticipation;pr;1,03351E+14
anticipation;#christmaseve;1,03351E+14
anticipation;expert;1,03351E+14
anticipation;ironically;1,03351E+14
anticipation;84;1,03351E+14
anticipation;#am;1,03351E+14
anticipation;trim;1,03351E+14
anticipation;wills;1,03351E+14
anticipation;funds;1,03351E+14
anticipation;pl;1,03351E+14
anticipation;dominating;1,03351E+14
anticipation;2007;1,03351E+14
anticipation;ooo;1,02917E+14
anticipation;excitement;1,02764E+14
anticipation;madrid;1,02639E+14
anticipation;involve;1,02639E+14
anticipation;rates;1,02446E+14
anticipation;mixing;1,02446E+14
anticipation;morgan;1,02246E+14
anticipation;levine;1,02108E+13
anticipation;qualify;1,02108E+13
anticipation;lobster;1,02108E+13
anticipation;#downtonabbey;1,02108E+13
anticipation;sammy;1,02108E+13
anticipation;reduced;1,02108E+13
anticipation;supernatural;1,01824E+14
anticipation;inform;1,0137E+14
anticipation;digital;1,0137E+14
anticipation;gatsby;1,0137E+14
anticipation;addition;1,0137E+14
anticipation;gender;1,0137E+14
anticipation;users;1,0137E+14
anticipation;tomoz;1,0137E+14
anticipation;programme;1,0137E+14
anticipation;abroad;1,01103E+14
anticipation;#exciting;1,01103E+14
anticipation;#soexcited;1,01025E+14
anticipation;researching;1,01025E+14
anticipation;wait;1,00965E+14
anticipation;newest;1,00881E+14
anticipation;reveal;1,00753E+14
anticipation;genetics;1,00533E+14
anticipation;raid;1,00533E+14
anticipation;gravity;1,00533E+14
anticipation;earthquake;1,00533E+14
anticipation;discussion;1,00533E+14
anticipation;tmw;1,00533E+14
anticipation;franchise;1,00533E+14
anticipation;formula;1,00533E+14
anticipation;ku;1,00533E+14
anticipation;jj;1,00533E+14
anticipation;redneck;1,00533E+14
anticipation;deals;1,00533E+14
anticipation;intervention;1,00533E+14
anticipation;revelation;1,00533E+14
anticipation;#praying;1,00352E+14
anticipation;msu;1,00072E+14
anticipation;jerseys;1,00072E+14
anticipation;penalties;1,00072E+14
anticipation;rumor;1,00072E+14
anticipation;native;1,00072E+14
anticipation;prince;9,98636E+14
anticipation;wiz;9,97787E+14
anticipation;egypt;9,97787E+14
anticipation;hitler;9,97787E+14
anticipation;#strange;9,97787E+14
anticipation;divorce;9,97787E+14
anticipation;reunion;9,96691E+14
anticipation;#nerd;9,94285E+14
anticipation;killers;9,94285E+14
anticipation;pope;9,89054E+14
anticipation;meanings;9,84715E+13
anticipation;norm;9,84715E+13
anticipation;favourites;9,84715E+13
anticipation;000th;9,84715E+13
anticipation;trafford;9,84715E+13
anticipation;boro;9,84715E+13
anticipation;touring;9,84715E+13
anticipation;tiffany;9,84715E+13
anticipation;wv;9,84715E+13
anticipation;democrats;9,84715E+13
anticipation;bruins;9,84715E+13
anticipation;#insane;9,84715E+13
anticipation;googled;9,84715E+13
anticipation;rim;9,84715E+13
anticipation;#awareness;9,84715E+13
anticipation;loaf;9,84715E+13
anticipation;tram;9,84715E+13
anticipation;duncan;9,84715E+13
anticipation;islands;9,84715E+13
anticipation;economic;9,84715E+13
anticipation;a$ap;9,84715E+13
anticipation;tatum;9,84715E+13
anticipation;production;9,84715E+13
anticipation;oprah;9,84715E+13
anticipation;coaching;9,77935E+14
anticipation;huh;9,76347E+14
anticipation;20th;9,75236E+14
anticipation;2013;9,73168E+14
anticipation;#mufc;9,71812E+14
anticipation;cents;9,71812E+14
anticipation;27th;9,68967E+14
anticipation;condoms;9,68967E+14
anticipation;foam;9,68967E+14
anticipation;journalism;9,68967E+14
anticipation;vice;9,68967E+14
anticipation;ooh;9,67016E+14
anticipation;snoop;9,64512E+14
anticipation;#4;9,64512E+14
anticipation;suprised;9,64512E+14
anticipation;filipino;9,64512E+14
anticipation;upcoming;9,64512E+14
anticipation;fbi;9,64512E+14
anticipation;invitation;9,64512E+14
anticipation;louisiana;9,64512E+14
anticipation;philippines;9,64512E+14
anticipation;glove;9,64512E+14
anticipation;queer;9,64512E+14
anticipation;convention;9,64512E+14
anticipation;holocaust;9,64512E+14
anticipation;comeback;9,64512E+14
anticipation;presidential;9,61185E+14
anticipation;sneak;9,59818E+14
anticipation;learning;9,5898E+14
anticipation;ins;9,56544E+14
anticipation;convos;9,56544E+14
anticipation;tx;9,56544E+14
anticipation;poll;9,5228E+14
anticipation;offering;9,5228E+14
anticipation;excited;9,51396E+14
anticipation;#49ers;9,49624E+13
anticipation;minister;9,49624E+13
anticipation;shane;9,49624E+13
anticipation;starring;9,49624E+13
anticipation;legacy;9,49624E+13
